shippingCode,paymentCode,sku
personalPick,CCPP,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]"
personalPick,BT,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]"
personalPick,CCPP,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]"
post,CCIN,"[{quantity:2,sku_id:EB-P1100BSEGWW}]"
post,COD,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]"
myHome,BT,"[{quantity:1,sku_id:RS68N8671S9/EF}]"
messenger,BT,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]"
messenger,COD,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]"
myQLEDmyHome,BT,"[{quantity:1,sku_id:RS68N8671S9/EF}]"
gw,COD,"[{quantity:1,sku_id:EF-ZG975CWEGWW}]"
gw,BT,"[{quantity:1,sku_id:EF-ZG975CWEGWW}]"
myQLED,BT,"[{quantity:1,sku_id:RS68N8671S9/EF}]"
post,BT,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]"
post,CCIN,"[{quantity:2,sku_id:EB-P1100BSEGWW}]"
post,COD,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]"
myHome,BT,"[{quantity:1,sku_id:RS68N8671S9/EF}]"
messenger,BT,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]"
messenger,COD,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]"
myQLEDmyHome,BT,"[{quantity:1,sku_id:RS68N8671S9/EF}]"
