shippingCode,paymentCode,sku
GW,COD,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]"
GW,BT,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]"
GW,CCIN,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]"
GW,COD,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]"
GW,BT,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]"
personal_pick,CCPP,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]"
personal_pick,BT,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]"
personal_pick,CCPP,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]"
GW,CCIN,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]"
GW,COD,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]"
GW,BT,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]"
GW,CCIN,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]"
GW,COD,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]"
GW,BT,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]"
GW,CCIN,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]"
GW,COD,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]"
GW,BT,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]"
GW,CCIN,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]"
